story_id,epic_id,title,phase,platforms,roles
  "S-101,EP-01,"Entitlement Request Package",phase: mvp,ios,macos,parent
  "S-102,EP-01,"Authorization Prompt & State",phase: mvp,ios,macos,parent
  "S-103,EP-01,"Child Selection via System UI",phase: mvp,ios,macos,parent
  "S-104,EP-01,"Revocation & Edge Cases Handling",phase: mvp,ios,macos,parent
  "S-105,EP-01,"macOS Parent Authorization",phase: mvp,macos,parent
  "S-201,EP-02,"Pairing Code / Deep Link Generation",phase: mvp,ios,macos,parent
  "S-202,EP-02,"Child Link Flow",phase: mvp,ios,child
  "S-203,EP-02,"Unlink / Re-pair Flow",phase: mvp,ios,macos,parent
  "S-204,EP-02,"Multi-Child Management UI",phase: mvp,ios,macos,parent
  "S-205,EP-02,"Parent Multi-Device Parity",phase: mvp,ios,macos,parent
  "S-301,EP-03,"Category Defaults for Learning/Reward",phase: mvp,ios,macos,parent
  "S-302,EP-03,"Manual App Overrides",phase: mvp,ios,macos,parent
  "S-303,EP-03,"Conflict Resolution Rules",phase: mvp,ios,macos,parent
  "S-304,EP-03,"Rule Sync Across Devices",phase: mvp,ios,macos,parent
  "S-305,EP-03,"Rule Audits",phase: mvp,ios,macos,parent
  "S-401,EP-04,"Foreground-Only Point Accrual",phase: mvp,ios,child
  "S-402,EP-04,"Idle Timeout for Accrual",phase: mvp,ios,child
  "S-403,EP-04,"Daily Caps & Rate Limits",phase: mvp,ios,parent
  "S-404,EP-04,"Points Ledger Persistence",phase: mvp,ios,macos,parent
  "S-405,EP-04,"Monotonic Session Timing / Clock Change Handling",phase: mvp,ios,child
  "S-406,EP-04,"Admin Adjustments",phase: mvp,ios,macos,parent
  "S-501,EP-05,"Redemption UX with Validation",phase: mvp,ios,child
  "S-502,EP-05,"Start Timed Exemption for Reward Apps",phase: mvp,ios,parent
  "S-503,EP-05,"Extension Policy Enforcement",phase: mvp,ios,parent
  "S-504,EP-05,"Re-lock ≤5s and Restart Resiliency",phase: mvp,ios,parent
  "S-505,EP-05,"Per-App vs Category Precedence",phase: mvp,ios,parent
  "S-601,EP-06,"CloudKit Schema Implementation",phase: mvp,ios,macos,parent
  "S-602,EP-06,"Conflict Strategy (LWW with Timestamps)",phase: mvp,ios,macos,parent
  "S-603,EP-06,"Offline Queue & Replay",phase: mvp,ios,macos,parent
  "S-604,EP-06,"Audit Log Usability",phase: mvp,ios,macos,parent
  "S-605,EP-06,"Performance Targets",phase: mvp,ios,macos,parent
  "S-701,EP-07,"Parent Dashboard",phase: mvp,ios,macos,parent
  "S-702,EP-07,"Weekly Report Extension",phase: mvp,ios,macos,parent
  "S-703,EP-07,"Export Data (CSV/JSON)",phase: mvp,ios,macos,parent
  "S-704,EP-07,"macOS Dashboard Parity",phase: mvp,macos,parent
  "S-801,EP-08,"Entitlement State Change Alerts",phase: mvp,ios,macos,parent
  "S-802,EP-08,"Weekly Summary Notifications",phase: mvp,ios,macos,parent
  "S-803,EP-08,"Redemption Success (Child Local)",phase: mvp,ios,child
  "S-804,EP-08,"Time Expiring Alerts",phase: mvp,ios,child
  "S-901,EP-09,"Parental Consent & Disclosures",phase: mvp,ios,macos,parent
  "S-902,EP-09,"Data Export/Delete",phase: mvp,ios,macos,parent
  "S-903,EP-09,"Privacy Policy & In-App Disclosures",phase: mvp,ios,macos,parent
  "S-904,EP-09,"Kids/Parental-Control Checklist Pass",phase: mvp,ios,macos,parent
  "S-905,EP-09,"Secrets & Encryption Verification",phase: mvp,ios,macos,parent
  "S-1001,EP-10,"Dynamic Type & Layout",phase: mvp,ios,macos,parent
  "S-1002,EP-10,"VoiceOver Labels & Hints",phase: mvp,ios,macos,parent
  "S-1003,EP-10,"Contrast & Tap Targets",phase: mvp,ios,macos,parent
  "S-1004,EP-10,"Strings Externalized (EN MVP)",phase: mvp,ios,macos,parent
  "S-1101,EP-11,"Subscription Purchase",phase: mvp,ios,macos,parent
  "S-1102,EP-11,"Restore Purchases",phase: mvp,ios,macos,parent
  "S-1103,EP-11,"Family Plan Support",phase: mvp,ios,macos,parent
  "S-1104,EP-11,"Feature Gating for Premium",phase: mvp,ios,macos,parent
  "S-1201,EP-12,"Subject Multipliers",phase: post-mvp,ios,macos,parent
  "S-1202,EP-12,"Adaptive Difficulty",phase: post-mvp,ios,macos,parent
  "S-1203,EP-12,"Family Competitions",phase: post-mvp,ios,macos,parent
  "S-1204,EP-12,"Real-World Rewards Integrations",phase: post-mvp,ios,macos,parent
  "S-1205,EP-12,"Advanced Analytics",phase: post-mvp,ios,macos,parent
  "S-1301,EP-13,"macOS Onboarding Parity",phase: mvp,macos,parent
  "S-1302,EP-13,"Menu Bar Status",phase: post-mvp,macos,parent
  "S-1303,EP-13,"macOS Notifications",phase: mvp,macos,parent
  "S-1401,EP-14,"Modular Project Setup",phase: mvp,ios,macos,parent
  "S-1402,EP-14,"CI/CD Pipeline",phase: mvp,ios,macos,parent
  "S-1403,EP-14,"Unit Tests Coverage",phase: mvp,ios,macos,parent
  "S-1404,EP-14,"UI Tests for Critical Flows",phase: mvp,ios,macos,parent
  "S-1405,EP-14,"Fixtures and Test Data",phase: mvp,ios,macos,parent
